unit_id,approval_id,project_id,approval_status,outcome,approved_area_m2,area_m2,DKMJ,stratum,cluster,spatial_cluster,neighbors,neighbor_unit_ids,x,y,quality_score,baseline_risk_score,risk_score,review_penalty,rule_eval_count,rule_hit_count,critical_rule_hit_count,high_rule_hit_count,review_task_count,open_review_count,completed_review_count,supplement_required_review_count,confirmed_violation_count,propensity_score,evidence_weight,synthetic,not_for_production,data_role,source_path,region_code,period,time_index,scenario_id,split,action_type,counterfactual_group,treatment_effect,baseline_state_score,next_state_score,constraint_risk_delta,planning_utility_delta,uncertainty,action_mask_allowed,action_mask_required_reviews,action_mask_hard_blocks,action_mask_policy
TWM-SYN-C-0005,APR-TWM-SYN-C-0005,PRJ-TWM-SYN-C-0005,in_review,0.47704,0.0,6215.579,6215.579,SYN-R00:township_1,syn_component_r00_t01_c01,syn_component_r00_t01_c01,TWM-SYN-T-0005,TWM-SYN-T-0005,106.012,29.322,0.81,0.18,0.18,0.08,4,0,0,0,1,0,1,1,0,0.5,0.822,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,restore,pair_0005,0.068,0.4752,0.47704,-0.056,0.09536,0.078,True,,,low_risk_allowed
TWM-SYN-T-0005,APR-TWM-SYN-T-0005,PRJ-TWM-SYN-T-0005,approved,0.54504,6215.579,6215.579,6215.579,SYN-R00:township_1,syn_component_r00_t01_c01,syn_component_r00_t01_c01,TWM-SYN-C-0005,TWM-SYN-C-0005,106.013,29.323,0.81,0.18,0.18,0.08,4,0,0,0,1,0,1,1,0,0.5,0.822,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,restore,pair_0005,0.068,0.4752,0.54504,-0.056,0.09536,0.078,True,,,low_risk_allowed
TWM-SYN-C-0006,APR-TWM-SYN-C-0006,PRJ-TWM-SYN-C-0006,in_review,0.477232,0.0,164836.946,164836.946,SYN-R00:township_2,syn_component_r00_t01_c02,syn_component_r00_t01_c02,TWM-SYN-T-0006,TWM-SYN-T-0006,106.024,29.326,0.795,0.174,0.174,0.1,4,0,0,0,1,0,1,1,0,0.5,0.796,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,approve_with_conditions,pair_0006,0.041,0.47532,0.477232,-0.012,0.033312,0.104,True,,,low_risk_allowed
TWM-SYN-T-0006,APR-TWM-SYN-T-0006,PRJ-TWM-SYN-T-0006,approved,0.518232,164836.946,164836.946,164836.946,SYN-R00:township_2,syn_component_r00_t01_c02,syn_component_r00_t01_c02,TWM-SYN-C-0006,TWM-SYN-C-0006,106.025,29.327,0.795,0.174,0.174,0.1,4,0,0,0,1,0,1,1,0,0.5,0.796,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,approve_with_conditions,pair_0006,0.041,0.47532,0.518232,-0.012,0.033312,0.104,True,,,low_risk_allowed
TWM-SYN-C-0007,APR-TWM-SYN-C-0007,PRJ-TWM-SYN-C-0007,in_review,0.47464,0.0,31132.244,31132.244,SYN-R00:township_0,syn_component_r00_t01_c03,syn_component_r00_t01_c03,TWM-SYN-T-0007,TWM-SYN-T-0007,106.036,29.33,0.78,0.18,0.18,0.04,4,0,0,0,1,0,1,0,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,defer_review,pair_0007,0.014,0.4728,0.47464,0.018,-0.0124,0.153,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-T-0007,APR-TWM-SYN-T-0007,PRJ-TWM-SYN-T-0007,approved,0.48864,31132.244,31132.244,31132.244,SYN-R00:township_0,syn_component_r00_t01_c03,syn_component_r00_t01_c03,TWM-SYN-C-0007,TWM-SYN-C-0007,106.037,29.331,0.78,0.18,0.18,0.04,4,0,0,0,1,0,1,0,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,defer_review,pair_0007,0.014,0.4728,0.48864,0.018,-0.0124,0.153,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-C-0008,APR-TWM-SYN-C-0008,PRJ-TWM-SYN-C-0008,in_review,0.446448,0.0,25152.954,25152.954,SYN-R00:township_0,syn_component_r00_t02_c00,syn_component_r00_t02_c00,TWM-SYN-T-0008,TWM-SYN-T-0008,106.0,29.336,0.83,0.336,0.336,0.08,4,1,0,0,2,0,1,1,0,0.5,0.803,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,protect,pair_0008,0.034,0.44248,0.446448,-0.026,0.019488,0.097,True,,,mixed_risk_protect_allowed
TWM-SYN-T-0008,APR-TWM-SYN-T-0008,PRJ-TWM-SYN-T-0008,approved,0.480448,25152.954,25152.954,25152.954,SYN-R00:township_0,syn_component_r00_t02_c00,syn_component_r00_t02_c00,TWM-SYN-C-0008,TWM-SYN-C-0008,106.001,29.337,0.83,0.336,0.336,0.08,4,1,0,0,2,0,1,1,0,0.5,0.803,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,protect,pair_0008,0.034,0.44248,0.480448,-0.026,0.019488,0.097,True,,,mixed_risk_protect_allowed
TWM-SYN-C-0009,APR-TWM-SYN-C-0009,PRJ-TWM-SYN-C-0009,in_review,0.44664,0.0,83477.56,83477.56,SYN-R00:township_1,syn_component_r00_t02_c01,syn_component_r00_t02_c01,TWM-SYN-T-0009,TWM-SYN-T-0009,106.012,29.34,0.815,0.33,0.33,0.1,4,1,0,0,2,0,1,1,0,0.5,0.798,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,restore,pair_0009,0.042,0.4426,0.44664,-0.02,0.02544,0.102,True,,,mixed_risk_restore_allowed
TWM-SYN-T-0009,APR-TWM-SYN-T-0009,PRJ-TWM-SYN-T-0009,approved,0.48864,83477.56,83477.56,83477.56,SYN-R00:township_1,syn_component_r00_t02_c01,syn_component_r00_t02_c01,TWM-SYN-C-0009,TWM-SYN-C-0009,106.013,29.341,0.815,0.33,0.33,0.1,4,1,0,0,2,0,1,1,0,0.5,0.798,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,restore,pair_0009,0.042,0.4426,0.48864,-0.02,0.02544,0.102,True,,,mixed_risk_restore_allowed
TWM-SYN-C-0010,APR-TWM-SYN-C-0010,PRJ-TWM-SYN-C-0010,in_review,0.478384,0.0,164836.946,164836.946,SYN-R00:township_2,syn_component_r00_t02_c02,syn_component_r00_t02_c02,TWM-SYN-T-0010,TWM-SYN-T-0010,106.024,29.344,0.8,0.188,0.188,0.04,4,0,0,0,1,0,1,0,0,0.5,0.814,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,approve_with_conditions,pair_0010,0.063,0.47264,0.478384,-0.048,0.097504,0.086,True,,,low_risk_allowed
TWM-SYN-T-0010,APR-TWM-SYN-T-0010,PRJ-TWM-SYN-T-0010,approved,0.541384,164836.946,164836.946,164836.946,SYN-R00:township_2,syn_component_r00_t02_c02,syn_component_r00_t02_c02,TWM-SYN-C-0010,TWM-SYN-C-0010,106.025,29.345,0.8,0.188,0.188,0.04,4,0,0,0,1,0,1,0,0,0.5,0.814,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,approve_with_conditions,pair_0010,0.063,0.47264,0.541384,-0.048,0.097504,0.086,True,,,low_risk_allowed
TWM-SYN-C-0011,APR-TWM-SYN-C-0011,PRJ-TWM-SYN-C-0011,in_review,0.475792,0.0,92032.689,92032.689,SYN-R00:township_0,syn_component_r00_t02_c03,syn_component_r00_t02_c03,TWM-SYN-T-0011,TWM-SYN-T-0011,106.036,29.348,0.785,0.194,0.194,0.06,4,0,0,0,1,0,1,0,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,defer_review,pair_0011,0.012,0.47012,0.475792,0.018,-0.014688,0.156,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-T-0011,APR-TWM-SYN-T-0011,PRJ-TWM-SYN-T-0011,approved,0.487792,92032.689,92032.689,92032.689,SYN-R00:township_0,syn_component_r00_t02_c03,syn_component_r00_t02_c03,TWM-SYN-C-0011,TWM-SYN-C-0011,106.037,29.349,0.785,0.194,0.194,0.06,4,0,0,0,1,0,1,0,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q3+0,2,scenario_approve_with_conditions_2,train,defer_review,pair_0011,0.012,0.47012,0.487792,0.018,-0.014688,0.156,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-C-0012,APR-TWM-SYN-C-0012,PRJ-TWM-SYN-C-0012,in_review,0.430496,0.0,17182.014,17182.014,SYN-R00:township_0,syn_component_r00_t03_c00,syn_component_r00_t03_c00,TWM-SYN-T-0012,TWM-SYN-T-0012,106.0,29.354,0.835,0.372,0.372,0.1,4,1,0,1,2,0,1,1,0,0.5,0.83,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,protect,pair_0012,0.06,0.43496,0.430496,-0.062,0.086936,0.07,True,,,mixed_risk_protect_allowed
TWM-SYN-T-0012,APR-TWM-SYN-T-0012,PRJ-TWM-SYN-T-0012,approved,0.490496,17182.014,17182.014,17182.014,SYN-R00:township_0,syn_component_r00_t03_c00,syn_component_r00_t03_c00,TWM-SYN-C-0012,TWM-SYN-C-0012,106.001,29.355,0.835,0.372,0.372,0.1,4,1,0,1,2,0,1,1,0,0.5,0.83,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,protect,pair_0012,0.06,0.43496,0.490496,-0.062,0.086936,0.07,True,,,mixed_risk_protect_allowed
TWM-SYN-C-0013,APR-TWM-SYN-C-0013,PRJ-TWM-SYN-C-0013,in_review,0.467344,0.0,10280.868,10280.868,SYN-R00:township_1,syn_component_r00_t03_c01,syn_component_r00_t03_c01,TWM-SYN-T-0013,TWM-SYN-T-0013,106.012,29.358,0.82,0.208,0.208,0.04,4,0,0,0,1,0,1,0,0,0.5,0.804,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,restore,pair_0013,0.044,0.46984,0.467344,-0.02,0.029264,0.096,False,restoration_high_risk_phasing_review,,mixed_risk_restore_blocked
TWM-SYN-T-0013,APR-TWM-SYN-T-0013,PRJ-TWM-SYN-T-0013,approved,0.511344,10280.868,10280.868,10280.868,SYN-R00:township_1,syn_component_r00_t03_c01,syn_component_r00_t03_c01,TWM-SYN-C-0013,TWM-SYN-C-0013,106.013,29.359,0.82,0.208,0.208,0.04,4,0,0,0,1,0,1,0,0,0.5,0.804,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,restore,pair_0013,0.044,0.46984,0.511344,-0.02,0.029264,0.096,False,restoration_high_risk_phasing_review,,mixed_risk_restore_blocked
TWM-SYN-C-0014,APR-TWM-SYN-C-0014,PRJ-TWM-SYN-C-0014,in_review,0.439696,0.0,94485.048,94485.048,SYN-R00:township_2,syn_component_r00_t03_c02,syn_component_r00_t03_c02,TWM-SYN-T-0014,TWM-SYN-T-0014,106.024,29.362,0.805,0.322,0.322,0.06,4,1,0,0,2,0,1,0,0,0.5,0.799,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,approve_with_conditions,pair_0014,0.041,0.44356,0.439696,-0.012,0.031776,0.101,True,conditional_approval_monitoring,,mixed_risk_allowed_with_conditions
TWM-SYN-T-0014,APR-TWM-SYN-T-0014,PRJ-TWM-SYN-T-0014,approved,0.480696,94485.048,94485.048,94485.048,SYN-R00:township_2,syn_component_r00_t03_c02,syn_component_r00_t03_c02,TWM-SYN-C-0014,TWM-SYN-C-0014,106.025,29.363,0.805,0.322,0.322,0.06,4,1,0,0,2,0,1,0,0,0.5,0.799,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,approve_with_conditions,pair_0014,0.041,0.44356,0.480696,-0.012,0.031776,0.101,True,conditional_approval_monitoring,,mixed_risk_allowed_with_conditions
TWM-SYN-C-0015,APR-TWM-SYN-C-0015,PRJ-TWM-SYN-C-0015,in_review,0.464944,0.0,50127.153,50127.153,SYN-R00:township_0,syn_component_r00_t03_c03,syn_component_r00_t03_c03,TWM-SYN-T-0015,TWM-SYN-T-0015,106.036,29.366,0.79,0.208,0.208,0.08,4,0,0,0,1,0,1,1,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,defer_review,pair_0015,0.014,0.46744,0.464944,0.018,-0.012976,0.15,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-T-0015,APR-TWM-SYN-T-0015,PRJ-TWM-SYN-T-0015,approved,0.478944,50127.153,50127.153,50127.153,SYN-R00:township_0,syn_component_r00_t03_c03,syn_component_r00_t03_c03,TWM-SYN-C-0015,TWM-SYN-C-0015,106.037,29.367,0.79,0.208,0.208,0.08,4,0,0,0,1,0,1,1,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q4+0,3,scenario_protect_0,train,defer_review,pair_0015,0.014,0.46744,0.478944,0.018,-0.012976,0.15,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-C-0016,APR-TWM-SYN-C-0016,PRJ-TWM-SYN-C-0016,in_review,0.471088,0.0,34224.194,34224.194,SYN-R00:township_0,syn_component_r00_t04_c00,syn_component_r00_t04_c00,TWM-SYN-T-0016,TWM-SYN-T-0016,106.0,29.372,0.84,0.216,0.216,0.04,4,0,0,0,1,0,1,0,0,0.5,0.806,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,protect,pair_0016,0.034,0.46968,0.471088,-0.026,0.021168,0.094,False,protection_boundary_conflict_review,,mixed_risk_protect_blocked
TWM-SYN-T-0016,APR-TWM-SYN-T-0016,PRJ-TWM-SYN-T-0016,approved,0.505088,34224.194,34224.194,34224.194,SYN-R00:township_0,syn_component_r00_t04_c00,syn_component_r00_t04_c00,TWM-SYN-C-0016,TWM-SYN-C-0016,106.001,29.373,0.84,0.216,0.216,0.04,4,0,0,0,1,0,1,0,0,0.5,0.806,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,protect,pair_0016,0.034,0.46968,0.505088,-0.026,0.021168,0.094,False,protection_boundary_conflict_review,,mixed_risk_protect_blocked
TWM-SYN-C-0017,APR-TWM-SYN-C-0017,PRJ-TWM-SYN-C-0017,in_review,0.468496,0.0,160798.586,160798.586,SYN-R00:township_1,syn_component_r00_t04_c01,syn_component_r00_t04_c01,TWM-SYN-T-0017,TWM-SYN-T-0017,106.012,29.376,0.825,0.222,0.222,0.06,4,1,0,0,2,0,1,0,0,0.5,0.822,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,restore,pair_0017,0.066,0.46716,0.468496,-0.056,0.092976,0.078,True,,,low_risk_allowed
TWM-SYN-T-0017,APR-TWM-SYN-T-0017,PRJ-TWM-SYN-T-0017,approved,0.534496,160798.586,160798.586,160798.586,SYN-R00:township_1,syn_component_r00_t04_c01,syn_component_r00_t04_c01,TWM-SYN-C-0017,TWM-SYN-C-0017,106.013,29.377,0.825,0.222,0.222,0.06,4,1,0,0,2,0,1,0,0,0.5,0.822,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,restore,pair_0017,0.066,0.46716,0.534496,-0.056,0.092976,0.078,True,,,low_risk_allowed
TWM-SYN-C-0018,APR-TWM-SYN-C-0018,PRJ-TWM-SYN-C-0018,in_review,0.468688,0.0,38619.015,38619.015,SYN-R00:township_2,syn_component_r00_t04_c02,syn_component_r00_t04_c02,TWM-SYN-T-0018,TWM-SYN-T-0018,106.024,29.38,0.81,0.216,0.216,0.08,4,0,0,0,1,0,1,1,0,0.5,0.796,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,approve_with_conditions,pair_0018,0.039,0.46728,0.468688,-0.012,0.030928,0.104,False,mixed_risk_condition_review,,mixed_risk_blocked_condition_review
TWM-SYN-T-0018,APR-TWM-SYN-T-0018,PRJ-TWM-SYN-T-0018,approved,0.507688,38619.015,38619.015,38619.015,SYN-R00:township_2,syn_component_r00_t04_c02,syn_component_r00_t04_c02,TWM-SYN-C-0018,TWM-SYN-C-0018,106.025,29.381,0.81,0.216,0.216,0.08,4,0,0,0,1,0,1,1,0,0.5,0.796,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,approve_with_conditions,pair_0018,0.039,0.46728,0.507688,-0.012,0.030928,0.104,False,mixed_risk_condition_review,,mixed_risk_blocked_condition_review
TWM-SYN-C-0019,APR-TWM-SYN-C-0019,PRJ-TWM-SYN-C-0019,in_review,0.466096,0.0,26469.044,26469.044,SYN-R00:township_0,syn_component_r00_t04_c03,syn_component_r00_t04_c03,TWM-SYN-T-0019,TWM-SYN-T-0019,106.036,29.384,0.795,0.222,0.222,0.1,4,1,0,0,2,0,1,1,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,defer_review,pair_0019,0.012,0.46476,0.466096,0.018,-0.015264,0.153,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-T-0019,APR-TWM-SYN-T-0019,PRJ-TWM-SYN-T-0019,approved,0.478096,26469.044,26469.044,26469.044,SYN-R00:township_0,syn_component_r00_t04_c03,syn_component_r00_t04_c03,TWM-SYN-C-0019,TWM-SYN-C-0019,106.037,29.385,0.795,0.222,0.222,0.1,4,1,0,0,2,0,1,1,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+1,4,scenario_restore_1,validation,defer_review,pair_0019,0.012,0.46476,0.478096,0.018,-0.015264,0.153,False,synthetic_defer_review,,defer_review_always_review
