node_id,label,biz_id,name,properties
verification:VER000001,Verification,VER000001,Verification-VER000001,"{""approval_date"": ""2022-08-30"", ""area_mu"": 21.68, ""dzjgh"": ""DZJGH-10-00000001"", ""flowsn"": ""FLOW-10-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""verification"", ""stage_name"": ""规划核实"", ""status"": ""已核实"", ""synthetic_seed"": 20260604, ""verification_id"": ""VER000001"", ""verification_no"": ""VER-NO-00000001"", ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
parcel:PARCEL000001,Parcel,PARCEL000001,Parcel-PARCEL000001,"{""area_mu"": 27.98, ""generator_version"": ""major_project_synthetic_core_v1"", ""geom_wkt"": ""POLYGON((118.020000 31.020000, 118.026000 31.020000, 118.026000 31.026000, 118.020000 31.026000, 118.020000 31.020000))"", ""land_use_type"": ""建设用地"", ""parcel_id"": ""PARCEL000001"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""synthetic_seed"": 20260604}"
project:MP000002,MajorProject,MP000002,示范重大项目B-0002,"{""city"": ""示范省A示范市3"", ""construction_unit"": ""示范建设单位-003"", ""county"": ""示范县3"", ""generator_version"": ""major_project_synthetic_core_v1"", ""geom_wkt"": ""POLYGON((118.040000 31.040000, 118.047000 31.040000, 118.047000 31.047000, 118.040000 31.047000, 118.040000 31.040000))"", ""list_year"": 2024, ""planned_land_area_mu"": 478.54, ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""project_type"": ""水利"", ""province"": ""示范省A"", ""status"": ""已核实"", ""synthetic_seed"": 20260604, ""total_investment_million"": 1245.67, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
landplan:PLAN000002,LandPlan,PLAN000002,LandPlan-PLAN000002,"{""approval_date"": ""2022-02-15"", ""area_mu"": 478.93, ""dzjgh"": ""DZJGH-01-00000002"", ""flowsn"": ""FLOW-01-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""plan_id"": ""PLAN000002"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""land_plan"", ""stage_name"": ""用地计划配置"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
prereview:PRE000002,PreReview,PRE000002,PreReview-PRE000002,"{""approval_date"": ""2022-03-10"", ""area_mu"": 427.36, ""dzjgh"": ""DZJGH-02-00000002"", ""flowsn"": ""FLOW-02-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""pre_review_id"": ""PRE000002"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""pre_review"", ""stage_name"": ""建设项目用地预审"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""xs_dzjgh"": ""DZJGH-02-00000002"", ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
siteselection:SITE000002,SiteSelection,SITE000002,SiteSelection-SITE000002,"{""approval_date"": ""2022-04-02"", ""area_mu"": 499.45, ""dzjgh"": ""DZJGH-03-00000002"", ""flowsn"": ""FLOW-03-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""site_selection_id"": ""SITE000002"", ""stage"": ""site_selection"", ""stage_name"": ""规划选址"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
conversionexpropriation:CONV000002,ConversionExpropriation,CONV000002,ConversionExpropriation-CONV000002,"{""approval_date"": ""2022-04-25"", ""area_mu"": 422.06, ""conversion_id"": ""CONV000002"", ""dzjgh"": ""DZJGH-04-00000002"", ""flowsn"": ""FLOW-04-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""conversion_expropriation"", ""stage_name"": ""农用地转用和土地征收"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
approvalproject:APPR000002,ApprovalProject,APPR000002,ApprovalProject-APPR000002,"{""approval_date"": ""2022-05-18"", ""approval_project_id"": ""APPR000002"", ""area_mu"": 370.76, ""bp_guid"": ""BP-00000002"", ""dzjgh"": ""DZJGH-05-00000002"", ""flowsn"": ""FLOW-05-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""approval_project"", ""stage_name"": ""建设用地审批项目"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
approvalsupply:APPS000002,ApprovalSupply,APPS000002,ApprovalSupply-APPS000002,"{""approval_date"": ""2022-06-10"", ""approval_supply_id"": ""APPS000002"", ""area_mu"": 417.96, ""bp_guid"": ""BP-00000002"", ""dzjgh"": ""DZJGH-06-00000002"", ""flowsn"": ""FLOW-06-00000002"", ""gd_guid"": ""GD-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""approval_supply"", ""stage_name"": ""批供关联"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
landsupply:SUP000002,LandSupply,SUP000002,LandSupply-SUP000002,"{""approval_date"": ""2022-07-03"", ""area_mu"": 423.18, ""dzjgh"": ""DZJGH-07-00000002"", ""flowsn"": ""FLOW-07-00000002"", ""gd_guid"": ""GD-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""land_supply_id"": ""SUP000002"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""land_supply"", ""stage_name"": ""土地供应"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
landusepermit:LUP000002,LandUsePermit,LUP000002,LandUsePermit-LUP000002,"{""approval_date"": ""2022-07-26"", ""area_mu"": 331.35, ""dzjgh"": ""DZJGH-08-00000002"", ""flowsn"": ""FLOW-08-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""land_use_permit_id"": ""LUP000002"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""land_use_permit"", ""stage_name"": ""建设用地规划许可"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""ygdzjgh"": ""DZJGH-08-00000002"", ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
constructionpermit:CP000002,ConstructionPermit,CP000002,ConstructionPermit-CP000002,"{""approval_date"": ""2022-08-18"", ""area_mu"": 374.97, ""construction_permit_id"": ""CP000002"", ""dzjgh"": ""DZJGH-09-00000002"", ""flowsn"": ""FLOW-09-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""ggdzjgh"": ""DZJGH-09-00000002"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""construction_permit"", ""stage_name"": ""建设工程规划许可"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
verification:VER000002,Verification,VER000002,Verification-VER000002,"{""approval_date"": ""2022-09-10"", ""area_mu"": 418.58, ""dzjgh"": ""DZJGH-10-00000002"", ""flowsn"": ""FLOW-10-00000002"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""project_name"": ""示范重大项目B-0002"", ""stage"": ""verification"", ""stage_name"": ""规划核实"", ""status"": ""已核实"", ""synthetic_seed"": 20260604, ""verification_id"": ""VER000002"", ""verification_no"": ""VER-NO-00000002"", ""zdxm_sec"": ""SEC-0604-00000002"", ""zdxmbh"": ""ZDXM-000002""}"
parcel:PARCEL000002,Parcel,PARCEL000002,Parcel-PARCEL000002,"{""area_mu"": 535.21, ""generator_version"": ""major_project_synthetic_core_v1"", ""geom_wkt"": ""POLYGON((118.040000 31.040000, 118.047000 31.040000, 118.047000 31.047000, 118.040000 31.047000, 118.040000 31.040000))"", ""land_use_type"": ""建设用地"", ""parcel_id"": ""PARCEL000002"", ""profile"": ""small_dev"", ""project_id"": ""MP000002"", ""synthetic_seed"": 20260604}"
project:MP000003,MajorProject,MP000003,示范重大项目C-0003,"{""city"": ""示范省A示范市4"", ""construction_unit"": ""示范建设单位-004"", ""county"": ""示范县4"", ""generator_version"": ""major_project_synthetic_core_v1"", ""geom_wkt"": ""POLYGON((118.060000 31.060000, 118.068000 31.060000, 118.068000 31.068000, 118.060000 31.068000, 118.060000 31.060000))"", ""list_year"": 2025, ""planned_land_area_mu"": 799.61, ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""project_type"": ""水利"", ""province"": ""示范省A"", ""status"": ""已核实"", ""synthetic_seed"": 20260604, ""total_investment_million"": 2404.07, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
landplan:PLAN000003,LandPlan,PLAN000003,LandPlan-PLAN000003,"{""approval_date"": ""2022-02-26"", ""area_mu"": 597.57, ""dzjgh"": ""DZJGH-01-00000003"", ""flowsn"": ""FLOW-01-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""plan_id"": ""PLAN000003"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""land_plan"", ""stage_name"": ""用地计划配置"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
prereview:PRE000003,PreReview,PRE000003,PreReview-PRE000003,"{""approval_date"": ""2022-03-21"", ""area_mu"": 620.7, ""dzjgh"": ""DZJGH-02-00000003"", ""flowsn"": ""FLOW-02-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""pre_review_id"": ""PRE000003"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""pre_review"", ""stage_name"": ""建设项目用地预审"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""xs_dzjgh"": ""DZJGH-02-00000003"", ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
siteselection:SITE000003,SiteSelection,SITE000003,SiteSelection-SITE000003,"{""approval_date"": ""2022-04-13"", ""area_mu"": 729.11, ""dzjgh"": ""DZJGH-03-00000003"", ""flowsn"": ""FLOW-03-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""site_selection_id"": ""SITE000003"", ""stage"": ""site_selection"", ""stage_name"": ""规划选址"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
conversionexpropriation:CONV000003,ConversionExpropriation,CONV000003,ConversionExpropriation-CONV000003,"{""approval_date"": ""2022-05-06"", ""area_mu"": 695.97, ""conversion_id"": ""CONV000003"", ""dzjgh"": ""DZJGH-04-00000003"", ""flowsn"": ""FLOW-04-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""conversion_expropriation"", ""stage_name"": ""农用地转用和土地征收"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
approvalproject:APPR000003,ApprovalProject,APPR000003,ApprovalProject-APPR000003,"{""approval_date"": ""2022-05-29"", ""approval_project_id"": ""APPR000003"", ""area_mu"": 550.74, ""bp_guid"": ""BP-00000003"", ""dzjgh"": ""DZJGH-05-00000003"", ""flowsn"": ""FLOW-05-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""approval_project"", ""stage_name"": ""建设用地审批项目"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
approvalsupply:APPS000003,ApprovalSupply,APPS000003,ApprovalSupply-APPS000003,"{""approval_date"": ""2022-06-21"", ""approval_supply_id"": ""APPS000003"", ""area_mu"": 665.36, ""bp_guid"": ""BP-00000003"", ""dzjgh"": ""DZJGH-06-00000003"", ""flowsn"": ""FLOW-06-00000003"", ""gd_guid"": ""GD-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""approval_supply"", ""stage_name"": ""批供关联"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
landsupply:SUP000003,LandSupply,SUP000003,LandSupply-SUP000003,"{""approval_date"": ""2022-07-14"", ""area_mu"": 779.12, ""dzjgh"": ""DZJGH-07-00000003"", ""flowsn"": ""FLOW-07-00000003"", ""gd_guid"": ""GD-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""land_supply_id"": ""SUP000003"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""land_supply"", ""stage_name"": ""土地供应"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
landusepermit:LUP000003,LandUsePermit,LUP000003,LandUsePermit-LUP000003,"{""approval_date"": ""2022-08-06"", ""area_mu"": 807.36, ""dzjgh"": ""DZJGH-08-00000003"", ""flowsn"": ""FLOW-08-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""land_use_permit_id"": ""LUP000003"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""land_use_permit"", ""stage_name"": ""建设用地规划许可"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""ygdzjgh"": ""DZJGH-08-00000003"", ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
constructionpermit:CP000003,ConstructionPermit,CP000003,ConstructionPermit-CP000003,"{""approval_date"": ""2022-08-29"", ""area_mu"": 570.71, ""construction_permit_id"": ""CP000003"", ""dzjgh"": ""DZJGH-09-00000003"", ""flowsn"": ""FLOW-09-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""ggdzjgh"": ""DZJGH-09-00000003"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""construction_permit"", ""stage_name"": ""建设工程规划许可"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
verification:VER000003,Verification,VER000003,Verification-VER000003,"{""approval_date"": ""2022-09-21"", ""area_mu"": 740.5, ""dzjgh"": ""DZJGH-10-00000003"", ""flowsn"": ""FLOW-10-00000003"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""project_name"": ""示范重大项目C-0003"", ""stage"": ""verification"", ""stage_name"": ""规划核实"", ""status"": ""待整改"", ""synthetic_seed"": 20260604, ""verification_id"": ""VER000003"", ""verification_no"": ""VER-NO-00000003"", ""zdxm_sec"": ""SEC-0604-00000003"", ""zdxmbh"": ""ZDXM-000003""}"
parcel:PARCEL000003,Parcel,PARCEL000003,Parcel-PARCEL000003,"{""area_mu"": 771.87, ""generator_version"": ""major_project_synthetic_core_v1"", ""geom_wkt"": ""POLYGON((118.060000 31.060000, 118.068000 31.060000, 118.068000 31.068000, 118.060000 31.068000, 118.060000 31.060000))"", ""land_use_type"": ""林地"", ""parcel_id"": ""PARCEL000003"", ""profile"": ""small_dev"", ""project_id"": ""MP000003"", ""synthetic_seed"": 20260604}"
project:MP000004,MajorProject,MP000004,示范重大项目D-0004,"{""city"": ""示范省C示范市5"", ""construction_unit"": ""示范建设单位-005"", ""county"": ""示范县5"", ""generator_version"": ""major_project_synthetic_core_v1"", ""geom_wkt"": ""POLYGON((118.080000 31.080000, 118.089000 31.080000, 118.089000 31.089000, 118.080000 31.089000, 118.080000 31.080000))"", ""list_year"": 2026, ""planned_land_area_mu"": 1046.21, ""profile"": ""small_dev"", ""project_id"": ""MP000004"", ""project_name"": ""示范重大项目D-0004"", ""project_type"": ""水利"", ""province"": ""示范省C"", ""status"": ""储备"", ""synthetic_seed"": 20260604, ""total_investment_million"": 721.53, ""zdxm_sec"": ""SEC-0604-00000004"", ""zdxmbh"": ""ZDXM-000004""}"
landplan:PLAN000004,LandPlan,PLAN000004,LandPlan-PLAN000004,"{""approval_date"": ""2022-03-09"", ""area_mu"": 837.71, ""dzjgh"": ""DZJGH-01-00000004"", ""flowsn"": ""FLOW-01-00000004"", ""generator_version"": ""major_project_synthetic_core_v1"", ""plan_id"": ""PLAN000004"", ""profile"": ""small_dev"", ""project_id"": ""MP000004"", ""project_name"": ""示范重大项目D-0004"", ""stage"": ""land_plan"", ""stage_name"": ""用地计划配置"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000004"", ""zdxmbh"": ""ZDXM-000004""}"
prereview:PRE000004,PreReview,PRE000004,PreReview-PRE000004,"{""approval_date"": ""2022-04-01"", ""area_mu"": 777.75, ""dzjgh"": ""DZJGH-02-00000004"", ""flowsn"": ""FLOW-02-00000004"", ""generator_version"": ""major_project_synthetic_core_v1"", ""pre_review_id"": ""PRE000004"", ""profile"": ""small_dev"", ""project_id"": ""MP000004"", ""project_name"": ""示范重大项目D-0004"", ""stage"": ""pre_review"", ""stage_name"": ""建设项目用地预审"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""xs_dzjgh"": ""DZJGH-02-00000004"", ""zdxm_sec"": ""SEC-0604-00000004"", ""zdxmbh"": ""ZDXM-000004""}"
siteselection:SITE000004,SiteSelection,SITE000004,SiteSelection-SITE000004,"{""approval_date"": ""2022-04-24"", ""area_mu"": 789.99, ""dzjgh"": ""DZJGH-03-00000004"", ""flowsn"": ""FLOW-03-00000004"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000004"", ""project_name"": ""示范重大项目D-0004"", ""site_selection_id"": ""SITE000004"", ""stage"": ""site_selection"", ""stage_name"": ""规划选址"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000004"", ""zdxmbh"": ""ZDXM-000004""}"
conversionexpropriation:CONV000004,ConversionExpropriation,CONV000004,ConversionExpropriation-CONV000004,"{""approval_date"": ""2022-05-17"", ""area_mu"": 825.92, ""conversion_id"": ""CONV000004"", ""dzjgh"": ""DZJGH-04-00000004"", ""flowsn"": ""FLOW-04-00000004"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000004"", ""project_name"": ""示范重大项目D-0004"", ""stage"": ""conversion_expropriation"", ""stage_name"": ""农用地转用和土地征收"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000004"", ""zdxmbh"": ""ZDXM-000004""}"
