edge_id,source_node_id,target_node_id,edge_type,confidence,match_method,evidence
edge:00000016:HAS_CONSTRUCTION_PERMIT,project:MP000001,constructionpermit:CP000001,HAS_CONSTRUCTION_PERMIT,0.945,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""construction_permit""}"
edge:00000017:NEXT_STAGE,landusepermit:LUP000001,constructionpermit:CP000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 8, ""to_stage_order"": 9}"
edge:00000018:HAS_VERIFICATION,project:MP000001,verification:VER000001,HAS_VERIFICATION,0.94,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""verification""}"
edge:00000019:NEXT_STAGE,constructionpermit:CP000001,verification:VER000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 9, ""to_stage_order"": 10}"
edge:00000020:OCCUPIES_PARCEL,project:MP000001,parcel:PARCEL000001,OCCUPIES_PARCEL,0.99,exact_key,"{""matched_fields"": [""project_id""], ""source"": ""synthetic_project_parcel""}"
edge:00000021:HAS_LAND_PLAN,project:MP000002,landplan:PLAN000002,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000022:HAS_PRE_REVIEW,project:MP000002,prereview:PRE000002,HAS_PRE_REVIEW,0.98,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""pre_review""}"
edge:00000023:NEXT_STAGE,landplan:PLAN000002,prereview:PRE000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 1, ""to_stage_order"": 2}"
edge:00000024:HAS_SITE_SELECTION,project:MP000002,siteselection:SITE000002,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000025:NEXT_STAGE,prereview:PRE000002,siteselection:SITE000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000026:HAS_CONVERSION,project:MP000002,conversionexpropriation:CONV000002,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
edge:00000027:NEXT_STAGE,siteselection:SITE000002,conversionexpropriation:CONV000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 3, ""to_stage_order"": 4}"
edge:00000028:HAS_APPROVAL_PROJECT,project:MP000002,approvalproject:APPR000002,HAS_APPROVAL_PROJECT,0.965,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_project""}"
edge:00000029:NEXT_STAGE,conversionexpropriation:CONV000002,approvalproject:APPR000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 4, ""to_stage_order"": 5}"
edge:00000030:HAS_APPROVAL_SUPPLY,project:MP000002,approvalsupply:APPS000002,HAS_APPROVAL_SUPPLY,0.96,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_supply""}"
edge:00000031:NEXT_STAGE,approvalproject:APPR000002,approvalsupply:APPS000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 5, ""to_stage_order"": 6}"
edge:00000032:HAS_LAND_SUPPLY,project:MP000002,landsupply:SUP000002,HAS_LAND_SUPPLY,0.955,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_supply""}"
edge:00000033:NEXT_STAGE,approvalsupply:APPS000002,landsupply:SUP000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 6, ""to_stage_order"": 7}"
edge:00000034:HAS_LAND_USE_PERMIT,project:MP000002,landusepermit:LUP000002,HAS_LAND_USE_PERMIT,0.95,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_use_permit""}"
edge:00000035:NEXT_STAGE,landsupply:SUP000002,landusepermit:LUP000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 7, ""to_stage_order"": 8}"
edge:00000036:HAS_CONSTRUCTION_PERMIT,project:MP000002,constructionpermit:CP000002,HAS_CONSTRUCTION_PERMIT,0.945,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""construction_permit""}"
edge:00000037:NEXT_STAGE,landusepermit:LUP000002,constructionpermit:CP000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 8, ""to_stage_order"": 9}"
edge:00000038:HAS_VERIFICATION,project:MP000002,verification:VER000002,HAS_VERIFICATION,0.94,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""verification""}"
edge:00000039:NEXT_STAGE,constructionpermit:CP000002,verification:VER000002,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 9, ""to_stage_order"": 10}"
edge:00000040:OCCUPIES_PARCEL,project:MP000002,parcel:PARCEL000002,OCCUPIES_PARCEL,0.99,exact_key,"{""matched_fields"": [""project_id""], ""source"": ""synthetic_project_parcel""}"
edge:00000041:HAS_LAND_PLAN,project:MP000003,landplan:PLAN000003,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000042:HAS_PRE_REVIEW,project:MP000003,prereview:PRE000003,HAS_PRE_REVIEW,0.98,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""pre_review""}"
edge:00000043:NEXT_STAGE,landplan:PLAN000003,prereview:PRE000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 1, ""to_stage_order"": 2}"
edge:00000044:HAS_SITE_SELECTION,project:MP000003,siteselection:SITE000003,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000045:NEXT_STAGE,prereview:PRE000003,siteselection:SITE000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000046:HAS_CONVERSION,project:MP000003,conversionexpropriation:CONV000003,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
edge:00000047:NEXT_STAGE,siteselection:SITE000003,conversionexpropriation:CONV000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 3, ""to_stage_order"": 4}"
edge:00000048:HAS_APPROVAL_PROJECT,project:MP000003,approvalproject:APPR000003,HAS_APPROVAL_PROJECT,0.965,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_project""}"
edge:00000049:NEXT_STAGE,conversionexpropriation:CONV000003,approvalproject:APPR000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 4, ""to_stage_order"": 5}"
edge:00000050:HAS_APPROVAL_SUPPLY,project:MP000003,approvalsupply:APPS000003,HAS_APPROVAL_SUPPLY,0.96,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_supply""}"
edge:00000051:NEXT_STAGE,approvalproject:APPR000003,approvalsupply:APPS000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 5, ""to_stage_order"": 6}"
edge:00000052:HAS_LAND_SUPPLY,project:MP000003,landsupply:SUP000003,HAS_LAND_SUPPLY,0.955,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_supply""}"
edge:00000053:NEXT_STAGE,approvalsupply:APPS000003,landsupply:SUP000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 6, ""to_stage_order"": 7}"
edge:00000054:HAS_LAND_USE_PERMIT,project:MP000003,landusepermit:LUP000003,HAS_LAND_USE_PERMIT,0.95,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_use_permit""}"
edge:00000055:NEXT_STAGE,landsupply:SUP000003,landusepermit:LUP000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 7, ""to_stage_order"": 8}"
edge:00000056:HAS_CONSTRUCTION_PERMIT,project:MP000003,constructionpermit:CP000003,HAS_CONSTRUCTION_PERMIT,0.945,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""construction_permit""}"
edge:00000057:NEXT_STAGE,landusepermit:LUP000003,constructionpermit:CP000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 8, ""to_stage_order"": 9}"
edge:00000058:HAS_VERIFICATION,project:MP000003,verification:VER000003,HAS_VERIFICATION,0.94,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""verification""}"
edge:00000059:NEXT_STAGE,constructionpermit:CP000003,verification:VER000003,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 9, ""to_stage_order"": 10}"
edge:00000060:OCCUPIES_PARCEL,project:MP000003,parcel:PARCEL000003,OCCUPIES_PARCEL,0.99,exact_key,"{""matched_fields"": [""project_id""], ""source"": ""synthetic_project_parcel""}"
edge:00000061:HAS_LAND_PLAN,project:MP000004,landplan:PLAN000004,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000062:HAS_PRE_REVIEW,project:MP000004,prereview:PRE000004,HAS_PRE_REVIEW,0.98,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""pre_review""}"
edge:00000063:NEXT_STAGE,landplan:PLAN000004,prereview:PRE000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 1, ""to_stage_order"": 2}"
edge:00000064:HAS_SITE_SELECTION,project:MP000004,siteselection:SITE000004,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000065:NEXT_STAGE,prereview:PRE000004,siteselection:SITE000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000066:HAS_CONVERSION,project:MP000004,conversionexpropriation:CONV000004,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
edge:00000067:NEXT_STAGE,siteselection:SITE000004,conversionexpropriation:CONV000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 3, ""to_stage_order"": 4}"
edge:00000068:HAS_APPROVAL_PROJECT,project:MP000004,approvalproject:APPR000004,HAS_APPROVAL_PROJECT,0.965,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_project""}"
edge:00000069:NEXT_STAGE,conversionexpropriation:CONV000004,approvalproject:APPR000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 4, ""to_stage_order"": 5}"
edge:00000070:HAS_APPROVAL_SUPPLY,project:MP000004,approvalsupply:APPS000004,HAS_APPROVAL_SUPPLY,0.96,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_supply""}"
edge:00000071:NEXT_STAGE,approvalproject:APPR000004,approvalsupply:APPS000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 5, ""to_stage_order"": 6}"
edge:00000072:HAS_LAND_SUPPLY,project:MP000004,landsupply:SUP000004,HAS_LAND_SUPPLY,0.955,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_supply""}"
edge:00000073:NEXT_STAGE,approvalsupply:APPS000004,landsupply:SUP000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 6, ""to_stage_order"": 7}"
edge:00000074:HAS_LAND_USE_PERMIT,project:MP000004,landusepermit:LUP000004,HAS_LAND_USE_PERMIT,0.95,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_use_permit""}"
edge:00000075:NEXT_STAGE,landsupply:SUP000004,landusepermit:LUP000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 7, ""to_stage_order"": 8}"
edge:00000076:HAS_CONSTRUCTION_PERMIT,project:MP000004,constructionpermit:CP000004,HAS_CONSTRUCTION_PERMIT,0.945,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""construction_permit""}"
edge:00000077:NEXT_STAGE,landusepermit:LUP000004,constructionpermit:CP000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 8, ""to_stage_order"": 9}"
edge:00000078:HAS_VERIFICATION,project:MP000004,verification:VER000004,HAS_VERIFICATION,0.94,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""verification""}"
edge:00000079:NEXT_STAGE,constructionpermit:CP000004,verification:VER000004,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 9, ""to_stage_order"": 10}"
edge:00000080:OCCUPIES_PARCEL,project:MP000004,parcel:PARCEL000004,OCCUPIES_PARCEL,0.99,exact_key,"{""matched_fields"": [""project_id""], ""source"": ""synthetic_project_parcel""}"
edge:00000081:HAS_LAND_PLAN,project:MP000005,landplan:PLAN000005,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000082:HAS_PRE_REVIEW,project:MP000005,prereview:PRE000005,HAS_PRE_REVIEW,0.98,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""pre_review""}"
edge:00000083:NEXT_STAGE,landplan:PLAN000005,prereview:PRE000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 1, ""to_stage_order"": 2}"
edge:00000084:HAS_SITE_SELECTION,project:MP000005,siteselection:SITE000005,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000085:NEXT_STAGE,prereview:PRE000005,siteselection:SITE000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000086:HAS_CONVERSION,project:MP000005,conversionexpropriation:CONV000005,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
edge:00000087:NEXT_STAGE,siteselection:SITE000005,conversionexpropriation:CONV000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 3, ""to_stage_order"": 4}"
edge:00000088:HAS_APPROVAL_PROJECT,project:MP000005,approvalproject:APPR000005,HAS_APPROVAL_PROJECT,0.965,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_project""}"
edge:00000089:NEXT_STAGE,conversionexpropriation:CONV000005,approvalproject:APPR000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 4, ""to_stage_order"": 5}"
edge:00000090:HAS_APPROVAL_SUPPLY,project:MP000005,approvalsupply:APPS000005,HAS_APPROVAL_SUPPLY,0.96,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_supply""}"
edge:00000091:NEXT_STAGE,approvalproject:APPR000005,approvalsupply:APPS000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 5, ""to_stage_order"": 6}"
edge:00000092:HAS_LAND_SUPPLY,project:MP000005,landsupply:SUP000005,HAS_LAND_SUPPLY,0.955,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_supply""}"
edge:00000093:NEXT_STAGE,approvalsupply:APPS000005,landsupply:SUP000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 6, ""to_stage_order"": 7}"
edge:00000094:HAS_LAND_USE_PERMIT,project:MP000005,landusepermit:LUP000005,HAS_LAND_USE_PERMIT,0.95,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_use_permit""}"
edge:00000095:NEXT_STAGE,landsupply:SUP000005,landusepermit:LUP000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 7, ""to_stage_order"": 8}"
edge:00000096:HAS_CONSTRUCTION_PERMIT,project:MP000005,constructionpermit:CP000005,HAS_CONSTRUCTION_PERMIT,0.945,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""construction_permit""}"
edge:00000097:NEXT_STAGE,landusepermit:LUP000005,constructionpermit:CP000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 8, ""to_stage_order"": 9}"
edge:00000098:HAS_VERIFICATION,project:MP000005,verification:VER000005,HAS_VERIFICATION,0.94,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""verification""}"
edge:00000099:NEXT_STAGE,constructionpermit:CP000005,verification:VER000005,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 9, ""to_stage_order"": 10}"
edge:00000100:OCCUPIES_PARCEL,project:MP000005,parcel:PARCEL000005,OCCUPIES_PARCEL,0.99,exact_key,"{""matched_fields"": [""project_id""], ""source"": ""synthetic_project_parcel""}"
edge:00000101:HAS_LAND_PLAN,project:MP000006,landplan:PLAN000006,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000102:HAS_PRE_REVIEW,project:MP000006,prereview:PRE000006,HAS_PRE_REVIEW,0.98,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""pre_review""}"
edge:00000103:NEXT_STAGE,landplan:PLAN000006,prereview:PRE000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 1, ""to_stage_order"": 2}"
edge:00000104:HAS_SITE_SELECTION,project:MP000006,siteselection:SITE000006,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000105:NEXT_STAGE,prereview:PRE000006,siteselection:SITE000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000106:HAS_CONVERSION,project:MP000006,conversionexpropriation:CONV000006,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
edge:00000107:NEXT_STAGE,siteselection:SITE000006,conversionexpropriation:CONV000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 3, ""to_stage_order"": 4}"
edge:00000108:HAS_APPROVAL_PROJECT,project:MP000006,approvalproject:APPR000006,HAS_APPROVAL_PROJECT,0.965,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_project""}"
edge:00000109:NEXT_STAGE,conversionexpropriation:CONV000006,approvalproject:APPR000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 4, ""to_stage_order"": 5}"
edge:00000110:HAS_APPROVAL_SUPPLY,project:MP000006,approvalsupply:APPS000006,HAS_APPROVAL_SUPPLY,0.96,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_supply""}"
edge:00000111:NEXT_STAGE,approvalproject:APPR000006,approvalsupply:APPS000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 5, ""to_stage_order"": 6}"
edge:00000112:HAS_LAND_SUPPLY,project:MP000006,landsupply:SUP000006,HAS_LAND_SUPPLY,0.955,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_supply""}"
edge:00000113:NEXT_STAGE,approvalsupply:APPS000006,landsupply:SUP000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 6, ""to_stage_order"": 7}"
edge:00000114:HAS_LAND_USE_PERMIT,project:MP000006,landusepermit:LUP000006,HAS_LAND_USE_PERMIT,0.95,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_use_permit""}"
edge:00000115:NEXT_STAGE,landsupply:SUP000006,landusepermit:LUP000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 7, ""to_stage_order"": 8}"
edge:00000116:HAS_CONSTRUCTION_PERMIT,project:MP000006,constructionpermit:CP000006,HAS_CONSTRUCTION_PERMIT,0.945,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""construction_permit""}"
edge:00000117:NEXT_STAGE,landusepermit:LUP000006,constructionpermit:CP000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 8, ""to_stage_order"": 9}"
edge:00000118:HAS_VERIFICATION,project:MP000006,verification:VER000006,HAS_VERIFICATION,0.94,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""verification""}"
edge:00000119:NEXT_STAGE,constructionpermit:CP000006,verification:VER000006,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 9, ""to_stage_order"": 10}"
edge:00000120:OCCUPIES_PARCEL,project:MP000006,parcel:PARCEL000006,OCCUPIES_PARCEL,0.99,exact_key,"{""matched_fields"": [""project_id""], ""source"": ""synthetic_project_parcel""}"
edge:00000121:HAS_LAND_PLAN,project:MP000007,landplan:PLAN000007,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000122:MISSING_STAGE,project:MP000007,stage:MP000007:pre_review:missing,MISSING_STAGE,1.0,rule,"{""missing_stage"": ""pre_review"", ""rule"": ""idx % 7 == 0""}"
edge:00000123:HAS_SITE_SELECTION,project:MP000007,siteselection:SITE000007,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000124:NEXT_STAGE,stage:MP000007:pre_review:missing,siteselection:SITE000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000125:HAS_CONVERSION,project:MP000007,conversionexpropriation:CONV000007,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
edge:00000126:NEXT_STAGE,siteselection:SITE000007,conversionexpropriation:CONV000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 3, ""to_stage_order"": 4}"
edge:00000127:HAS_APPROVAL_PROJECT,project:MP000007,approvalproject:APPR000007,HAS_APPROVAL_PROJECT,0.965,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_project""}"
edge:00000128:NEXT_STAGE,conversionexpropriation:CONV000007,approvalproject:APPR000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 4, ""to_stage_order"": 5}"
edge:00000129:HAS_APPROVAL_SUPPLY,project:MP000007,approvalsupply:APPS000007,HAS_APPROVAL_SUPPLY,0.96,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_supply""}"
edge:00000130:NEXT_STAGE,approvalproject:APPR000007,approvalsupply:APPS000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 5, ""to_stage_order"": 6}"
edge:00000131:HAS_LAND_SUPPLY,project:MP000007,landsupply:SUP000007,HAS_LAND_SUPPLY,0.955,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_supply""}"
edge:00000132:NEXT_STAGE,approvalsupply:APPS000007,landsupply:SUP000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 6, ""to_stage_order"": 7}"
edge:00000133:HAS_LAND_USE_PERMIT,project:MP000007,landusepermit:LUP000007,HAS_LAND_USE_PERMIT,0.95,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_use_permit""}"
edge:00000134:NEXT_STAGE,landsupply:SUP000007,landusepermit:LUP000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 7, ""to_stage_order"": 8}"
edge:00000135:HAS_CONSTRUCTION_PERMIT,project:MP000007,constructionpermit:CP000007,HAS_CONSTRUCTION_PERMIT,0.945,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""construction_permit""}"
edge:00000136:NEXT_STAGE,landusepermit:LUP000007,constructionpermit:CP000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 8, ""to_stage_order"": 9}"
edge:00000137:HAS_VERIFICATION,project:MP000007,verification:VER000007,HAS_VERIFICATION,0.94,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""verification""}"
edge:00000138:NEXT_STAGE,constructionpermit:CP000007,verification:VER000007,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 9, ""to_stage_order"": 10}"
edge:00000139:OCCUPIES_PARCEL,project:MP000007,parcel:PARCEL000007,OCCUPIES_PARCEL,0.99,exact_key,"{""matched_fields"": [""project_id""], ""source"": ""synthetic_project_parcel""}"
edge:00000140:HAS_LAND_PLAN,project:MP000008,landplan:PLAN000008,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000141:HAS_PRE_REVIEW,project:MP000008,prereview:PRE000008,HAS_PRE_REVIEW,0.98,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""pre_review""}"
edge:00000142:NEXT_STAGE,landplan:PLAN000008,prereview:PRE000008,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 1, ""to_stage_order"": 2}"
edge:00000143:HAS_SITE_SELECTION,project:MP000008,siteselection:SITE000008,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000144:NEXT_STAGE,prereview:PRE000008,siteselection:SITE000008,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000145:HAS_CONVERSION,project:MP000008,conversionexpropriation:CONV000008,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
