source_index,sub_index,source_reference,source_section,checkpoint_core_scope,key,entry_type,title,authors,year,venue,doi,arxiv,best_url,pdf_url,access_status,publisher,volume,number,pages,note,local_bib_key,local_bib_source,attachment_path,attachment_sha256,download_status,download_error
22,1,"Velickovic, P. et al. 2018. Graph Attention Networks.",4. 图网络、关系归纳偏置与层级状态,True,velickovic2018gat,inproceedings,Graph Attention Networks,"Velickovic, Petar; Cucurull, Guillem; Casanova, Arantxa; Romero, Adriana; Lio, Pietro; Bengio, Yoshua",2018,International Conference on Learning Representations,,1710.10903,https://openreview.net/forum?id=rJXMpikCZ,https://openreview.net/pdf?id=rJXMpikCZ,open_pdf_known,,,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Velickovic_2018_velickovic2018gat.pdf,38edb7988d7a193789be3f67a3f0ee517d2b10fc4c2126a9f7c05b904d2769af,already_exists,
23,1,"Bronstein, M. M. et al. 2017/2021. Geometric deep learning.",4. 图网络、关系归纳偏置与层级状态,True,bronstein2021geometric,article,"Geometric Deep Learning: Grids, Groups, Graphs, Geodesics, and Gauges","Bronstein, Michael M.; Bruna, Joan; Cohen, Taco; Velickovic, Petar",2021,arXiv preprint arXiv:2104.13478,,2104.13478,https://arxiv.org/abs/2104.13478,https://arxiv.org/pdf/2104.13478,open_pdf_known,,,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Bronstein_2021_bronstein2021geometric.pdf,dcf8212ed37db9ac154ac975b8f9c7d36831cf56b75261679b04ab9814985fc2,already_exists,
24,1,"Sutton, R. S., Precup, D. and Singh, S. 1999. Between MDPs and semi-MDPs: options.",4. 图网络、关系归纳偏置与层级状态,True,sutton1999options,article,Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning,"Sutton, Richard S.; Precup, Doina; Singh, Satinder",1999,Artificial Intelligence,10.1016/S0004-3702(99)00052-1,,https://doi.org/10.1016/S0004-3702(99)00052-1,,metadata_only_paywalled_or_no_stable_open_pdf,,112,1-2,181--211,,,,,,not_attempted,
25,1,"Dietterich, T. G. 2000. MAXQ hierarchical reinforcement learning.",4. 图网络、关系归纳偏置与层级状态,True,dietterich2000maxq,article,Hierarchical reinforcement learning with the MAXQ value function decomposition,"Dietterich, Thomas G.",2000,Journal of Artificial Intelligence Research,10.1613/jair.639,,https://doi.org/10.1613/jair.639,https://www.jair.org/index.php/jair/article/download/10266/24463,open_pdf_known,,13,,227--303,,,,,,not_attempted,
26,1,"Bacon, P. L. et al. 2017. The option-critic architecture.",4. 图网络、关系归纳偏置与层级状态,True,bacon2017optioncritic,inproceedings,The Option-Critic Architecture,"Bacon, Pierre-Luc; Harb, Jean; Precup, Doina",2017,Proceedings of the AAAI Conference on Artificial Intelligence,,,https://ojs.aaai.org/index.php/AAAI/article/view/10916,https://ojs.aaai.org/index.php/AAAI/article/download/10916/10775,open_pdf_known,,31,1,,,,,,,not_attempted,
27,1,"Lowe, R. et al. 2017. Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments.",5. 多智能体与县域/乡镇分解,True,lowe2017maddpg,inproceedings,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,"Lowe, Ryan; Wu, Yi; Tamar, Aviv; Harb, Jean; Abbeel, Pieter; Mordatch, Igor",2017,Advances in Neural Information Processing Systems,,1706.02275,https://arxiv.org/abs/1706.02275,https://arxiv.org/pdf/1706.02275,open_pdf_known,,30,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Lowe_2017_lowe2017maddpg.pdf,dcbf258875023a4739a266697b3d7377dabfe10993ccef864fd5cc9373027e6e,already_exists,
28,1,"Rashid, T. et al. 2018. QMIX: Monotonic value function factorisation.",5. 多智能体与县域/乡镇分解,True,rashid2018qmix,inproceedings,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,"Rashid, Tabish; Samvelyan, Mikayel; Schroeder, Christian; Farquhar, Gregory; Foerster, Jakob; Whiteson, Shimon",2018,Proceedings of the 35th International Conference on Machine Learning,,,https://proceedings.mlr.press/v80/rashid18a.html,https://proceedings.mlr.press/v80/rashid18a/rashid18a.pdf,open_pdf_known,,80,,4295--4304,,,,,,not_attempted,
29,1,"Yu, C. et al. 2022. The Surprising Effectiveness of PPO in Cooperative Multi-Agent Games, MAPPO.",5. 多智能体与县域/乡镇分解,True,yu2022mappo,article,The Surprising Effectiveness of PPO in Cooperative Multi-Agent Games,"Yu, Chao; Velu, Akash; Vinitsky, Eugene; Gao, Yu; Wang, Yu; Bayen, Alexandre; Wu, Yi",2022,Advances in Neural Information Processing Systems,,2103.01955,https://arxiv.org/abs/2103.01955,https://arxiv.org/pdf/2103.01955,open_pdf_known,,35,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Yu_2022_yu2022mappo.pdf,b7577e38c48e898cc93a1438c266e546091d20a75dbad8d956000a1b42ab0b97,already_exists,
30,1,"Zhang, K. et al. 2021. Multi-Agent Reinforcement Learning: A Selective Overview.",5. 多智能体与县域/乡镇分解,True,zhang2021marlselective,article,Multi-Agent Reinforcement Learning: A Selective Overview of Theories and Algorithms,"Zhang, Kaiqing; Yang, Zhuoran; Basar, Tamer",2021,Handbook of Reinforcement Learning and Control,10.1007/978-3-030-60990-0_12,1911.10635,https://doi.org/10.1007/978-3-030-60990-0_12,https://arxiv.org/pdf/1911.10635,open_pdf_known,,,,321--384,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Zhang_2021_zhang2021marlselective.pdf,a48d8ba37a8c4042d19a877dac3284e52d911f788910bb950c14824fc6c5c4d7,already_exists,
31,1,"He, K. et al. 2022. Masked Autoencoders Are Scalable Vision Learners.",6. GeoFM、遥感 foundation model 与自监督表征,True,he2022mae,inproceedings,Masked Autoencoders Are Scalable Vision Learners,"He, Kaiming; Chen, Xinlei; Xie, Saining; Li, Yanghao; Doll{\'a}r, Piotr; Girshick, Ross",2022,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,https://openaccess.thecvf.com/content/CVPR2022/html/He_Masked_Autoencoders_Are_Scalable_Vision_Learners_CVPR_2022_paper.html,https://openaccess.thecvf.com/content/CVPR2022/papers/He_Masked_Autoencoders_Are_Scalable_Vision_Learners_CVPR_2022_paper.pdf,open_pdf_known,,,,16000--16009,,he2022mae,/Users/zhouning/alphaearth-training-system/paper12/references.bib,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/He_2022_he2022mae.pdf,ac0603ae154670e5ba14322ffc9ea49d7d1d35e315eeb9978e32afba7ab495fc,already_exists,
32,1,"Cong, Y. et al. 2022. SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery.",6. GeoFM、遥感 foundation model 与自监督表征,True,cong2022satmae,inproceedings,SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery,"Cong, Yezhen; Khanna, Samar; Meng, Chenlin; Liu, Patrick; Rozi, Erik; He, Yutong; Burke, Marshall; Lobell, David B.; Ermon, Stefano",2022,Advances in Neural Information Processing Systems (NeurIPS),,2207.08051,https://arxiv.org/abs/2207.08051,https://arxiv.org/pdf/2207.08051,open_pdf_known,,35,,,,cong2022satmae,/Users/zhouning/alphaearth-training-system/paper12/references.bib,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Cong_2022_cong2022satmae.pdf,988d3ea97d634f64b04eaa9b29ebc99bd2d7f899887d6accc2a3cd0fa25e3e97,already_exists,
33,1,"Jakubik, J. et al. 2023/2024. Prithvi-100M / Foundation Models for Generalist Geospatial AI.",6. GeoFM、遥感 foundation model 与自监督表征,True,jakubik2023prithvi,article,Foundation Models for Generalist Geospatial Artificial Intelligence,"Jakubik, Johannes; Roy, Sujit; Phillips, C. E.; Fraccaro, Paolo; Godwin, Denys; Zadrozny, Bianca; Szwarcman, Daniela; Gomes, Carlos; Nyirjesy, Gabriel; Edwards, Blair; others",2023,arXiv preprint arXiv:2310.18660,,2310.18660,https://arxiv.org/abs/2310.18660,https://arxiv.org/pdf/2310.18660,open_pdf_known,,,,,,jakubik2023prithvi,/Users/zhouning/alphaearth-training-system/paper12/references.bib,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Jakubik_2023_jakubik2023prithvi.pdf,8c80406ae8c8da4299e21c05a02dfa38050566f958b84a18d17689eacd51c461,already_exists,
34,1,"Reed, C. J. et al. 2023. Scale-MAE.",6. GeoFM、遥感 foundation model 与自监督表征,True,reed2023scalemae,inproceedings,Scale-MAE: A Scale-Aware Masked Autoencoder for Multiscale Geospatial Representation Learning,"Reed, Colorado J.; Gupta, Ritwik; Li, Shufan; Brockman, Sarah; Funk, Christopher; Clipp, Brian; Keutzer, Kurt; Candido, Salvatore; Uyttendaele, Matt; Darrell, Trevor",2023,IEEE/CVF International Conference on Computer Vision (ICCV),,,https://openaccess.thecvf.com/content/ICCV2023/html/Reed_Scale-MAE_A_Scale-Aware_Masked_Autoencoder_for_Multiscale_Geospatial_Representation_Learning_ICCV_2023_paper.html,https://openaccess.thecvf.com/content/ICCV2023/papers/Reed_Scale-MAE_A_Scale-Aware_Masked_Autoencoder_for_Multiscale_Geospatial_Representation_Learning_ICCV_2023_paper.pdf,open_pdf_known,,,,,,reed2023scalemae,/Users/zhouning/alphaearth-training-system/paper12/references.bib,,,not_attempted,
35,1,"Hong, D. et al. 2024. SpectralGPT.",6. GeoFM、遥感 foundation model 与自监督表征,True,hong2024spectralgpt,article,SpectralGPT: Spectral Remote Sensing Foundation Model,"Hong, Danfeng; Zhang, Bing; Li, Xuyang; Li, Yuxuan; Li, Chenyu; Yao, Jing; Yokoya, Naoto; Li, Hao; Ghamisi, Pedram; Jia, Xiuping; others",2024,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2024.3362475,2311.07113,https://doi.org/10.1109/TPAMI.2024.3362475,https://arxiv.org/pdf/2311.07113,open_pdf_known,,,,,,hong2024spectralgpt,/Users/zhouning/alphaearth-training-system/paper12/references.bib,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Hong_2024_hong2024spectralgpt.pdf,db791908208b7bea8fea6a138563d1edd8fd2b421becc61b107f42d208e51698,already_exists,
36,1,"Assran, M. et al. 2023. I-JEPA.",6. GeoFM、遥感 foundation model 与自监督表征,True,assran2023ijepa,inproceedings,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,"Assran, Mahmoud; Duval, Quentin; Misra, Ishan; Bojanowski, Piotr; Vincent, Pascal; Rabbat, Michael; LeCun, Yann; Ballas, Nicolas",2023,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52729.2023.01499,,https://openaccess.thecvf.com/content/CVPR2023/html/Assran_Self-Supervised_Learning_From_Images_With_a_Joint-Embedding_Predictive_Architecture_CVPR_2023_paper.html,https://openaccess.thecvf.com/content/CVPR2023/papers/Assran_Self-Supervised_Learning_From_Images_With_a_Joint-Embedding_Predictive_Architecture_CVPR_2023_paper.pdf,open_pdf_known,,,,15619--15629,,assran2023ijepa,/Users/zhouning/paper10-geojepa-mpc-farmland-layout/references/paper10_verified_references_2026-06-09.bib,,,not_attempted,
37,1,"Bardes, A. et al. 2024. V-JEPA.",6. GeoFM、遥感 foundation model 与自监督表征,True,bardes2024vjepa,inproceedings,Revisiting Feature Prediction for Learning Visual Representations from Video,"Bardes, Adrien; Garrido, Quentin; Ponce, Jean; Chen, Xinlei; Rabbat, Michael; LeCun, Yann; Assran, Mahmoud; Ballas, Nicolas",2024,arXiv preprint arXiv:2404.08471,,2404.08471,https://arxiv.org/abs/2404.08471,https://arxiv.org/pdf/2404.08471,open_pdf_known,,,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Bardes_2024_bardes2024vjepa.pdf,fb84f79be128e7425263e8674fbc3f2ec991575c4b5880556cfb8f5fa9fd91ba,already_exists,
38,1,"Guo, C. et al. 2017. On Calibration of Modern Neural Networks.",7. 不确定性校准、选择性预测与 evidence gate,True,guo2017calibration,inproceedings,On Calibration of Modern Neural Networks,"Guo, Chuan; Pleiss, Geoff; Sun, Yu; Weinberger, Kilian Q.",2017,Proceedings of the 34th International Conference on Machine Learning,,,https://proceedings.mlr.press/v70/guo17a.html,https://proceedings.mlr.press/v70/guo17a/guo17a.pdf,open_pdf_known,,70,,1321--1330,,,,,,not_attempted,
39,1,"Lakshminarayanan, B. et al. 2017. Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles.",7. 不确定性校准、选择性预测与 evidence gate,True,lakshminarayanan2017deepensembles,inproceedings,Simple and scalable predictive uncertainty estimation using deep ensembles,"Lakshminarayanan, Balaji; Pritzel, Alexander; Blundell, Charles",2017,Advances in Neural Information Processing Systems,,,https://papers.nips.cc/paper/2017/hash/9ef2ed4b7fd2c810847ffa5fa85bce38-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2017/file/9ef2ed4b7fd2c810847ffa5fa85bce38-Paper.pdf,open_pdf_known,,30,,,,lakshminarayanan2017simple,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,,,not_attempted,
40,1,"Ovadia, Y. et al. 2019. Can You Trust Your Model's Uncertainty Under Dataset Shift?",7. 不确定性校准、选择性预测与 evidence gate,True,ovadia2019uncertaintyshift,inproceedings,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,"Ovadia, Yaniv; Fertig, Emily; Ren, Jie; Nado, Zachary; Sculley, D.; Nowozin, Sebastian; Dillon, Joshua V.; Lakshminarayanan, Balaji; Snoek, Jasper",2019,Advances in Neural Information Processing Systems,,,https://papers.nips.cc/paper/2019/hash/8558cb408c1d76621371888657d2eb1d-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2019/file/8558cb408c1d76621371888657d2eb1d-Paper.pdf,open_pdf_known,,32,,,,,,,,not_attempted,
